City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
387,Bacolod,PH,78.78,light rain,10.6667,122.95,Planta Hotel & Residences
388,Ponta Delgada,PT,72.32,few clouds,37.7333,-25.6667,Vila Nova Hotel
389,Ambon,ID,75.54,moderate rain,-3.6954,128.1814,Swiss-Belhotel Ambon
391,Balkanabat,TM,81.01,clear sky,39.5108,54.3671,Nebitchi Hotel
395,Nueva Gerona,CU,86.16,broken clouds,21.8833,-82.8,Villa Gerona
397,San Luis,AR,73.02,few clouds,-33.295,-66.3356,Huarpes Hotel
402,Frontera,MX,78.94,clear sky,26.9333,-101.45,Casagrande Hotel
403,Islamkot,PK,82.69,overcast clouds,24.6997,70.177,Haji Hotel
404,Scottsbluff,US,82.63,clear sky,41.8666,-103.6672,Hampton Inn & Suites Scottsbluff-Conference Center
407,Palmerston,AU,75.18,scattered clouds,-12.486,130.9833,Quest Palmerston - Serviced Apartments and Accommodation
408,Cayenne,GF,89.64,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
409,Umm Lajj,SA,86.18,clear sky,25.0213,37.2685,Moon light Furnished Units
414,Limon,CR,84.04,scattered clouds,10.0,-83.0333,Hotel Playa Bonita
419,Magog,CA,78.75,overcast clouds,45.2668,-72.1491,Auberge du Grand Lac
422,Sao Jose Da Coroa Grande,BR,82.09,scattered clouds,-8.8978,-35.1478,Crôa Mares Hotel
430,Beawar,IN,75.45,overcast clouds,26.1,74.3167,HL Palace Beawar
431,Vila Do Maio,CV,83.19,broken clouds,15.1333,-23.2167,Hotel Marilu
432,Hargeysa,SO,76.05,broken clouds,9.56,44.065,City Center Hotel
434,Buta,CD,70.95,broken clouds,2.7858,24.73,HOTEL BISO NA BISO
436,Moerai,PF,70.39,scattered clouds,-22.4333,-151.3333,Le Manotel
437,Juegang,CN,73.29,light rain,32.3174,121.1855,Rudong Y Hotel
440,Bonthe,SL,81.12,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
441,Morena,IN,80.13,few clouds,26.4969,78.0,Hotel Upkar Palace
444,Wanxian,CN,77.63,overcast clouds,30.8039,108.3897,7Days Inn Chongqing Shiqiaopu
